id,rate,mean,sdevi,sdevc,exp
2856077,1.57E-07,570574288.4,9178680.66,182918063.8,19055123098
2862828,3.41E-05,568180272.9,8972815.08,218011016.3,18308494917
2862141,1.91E-05,551658134.3,8704107.32,203512282,18585322449
2869080,9.11E-06,548421997.4,8993036.22,200431624.4,18872183174
2873620,2.36E-07,544193287.2,8349039.76,207924442.6,18713080919
2851092,1.90E-07,542830497.5,8963302.64,161494098.8,19843790375
2860119,5.84E-06,539014662.6,8478287.02,210009847,18688788041
2870017,1.27E-06,535651336.9,8895345.43,202929353,18268347094
2867934,9.82E-07,534913808.2,8526993.4,194501666,18947182744
2854389,2.54E-05,533276028.6,8516647.41,212215315.3,18596978972
2861602,1.18E-06,532613770.5,9046636.53,180887466.2,18640372240
2863452,7.79E-05,532465764.8,8384377.8,199221598.2,19015604595
2861905,5.94E-05,521606398.8,9104352.13,186334413,17242637186
2866520,6.84E-06,516379581,8826448.45,187875825.6,18694458805
2860397,4.03E-07,514239062.1,8502922.37,158266054.6,19881961309
2855722,2.43E-06,513377927.8,8377628.28,211102928,18412401158
2849010,8.99E-05,509208101.2,8514552.27,203944234.6,18872093912
2876678,4.75E-06,508253977.9,8740584.04,138119767.1,18618577512
2851783,5.53E-06,507659501,8379228.59,191351223.9,18833463796
2853594,4.25E-06,505432091.5,8710438.9,198837381.7,18240498958
2872250,3.03E-06,503803982.4,8136769.3,194971129.3,18995181248
2877634,1.85E-06,503688715,8420170.47,192992224.3,18712091531
2871810,5.27E-06,503010365.1,7484488.44,279307222.7,18862743347
2869508,8.95E-08,496369432.6,7944159.69,183703390.5,18909431729
2867118,1.10E-05,491467155.1,8393792.66,160214536.4,19970791218
2854419,7.83E-06,486822486.1,7891613.16,194594374.1,19145298693
2869543,2.21E-05,483691114.3,8027217.87,200354786.8,18752261131
2866361,2.07E-05,483540397.2,8157558.68,199467354,18646434139
2856117,1.04E-05,483164998.4,7576097.92,303440981.1,18421383708
2870650,1.90E-06,483075276.9,8296230.22,109394370.1,19750842964
2875005,2.88E-07,481693368.6,7928764.15,197691924.2,18587798587
2868355,2.65E-07,475852195.4,8035369.28,196130670.7,18578884919
2868872,4.87E-05,474346922.3,7791936.59,185405563.5,18820711042
2859818,2.46E-05,471480314.7,7985407.06,200825263.2,18637112867
2871066,1.02E-05,469671631.7,7991823.78,196623904,18607076634
2872915,1.21E-05,467944482.5,6784804.15,315683527.1,18729453311
2850916,5.00E-07,467434972.5,7416534.51,283268843.5,18101862975
2860105,1.95E-06,464584293.2,8160091.02,182621526.5,18823526353
2875104,4.01E-06,464451069.2,7902436.61,194453093.3,18655271582
2877422,4.24E-05,464087809,7978333.84,182140762.7,18926274786
2874165,1.29E-05,459998019.3,8069735.07,178757345.3,19009432612
2862661,3.30E-06,459598828.2,7605197.51,190410580.9,18900317579
